"cod_modelo_color","cod_color_code","des_color_specification_esp","des_agrup_color_eng","des_sex","des_age","des_line","des_fabric","des_product_category","des_product_aggregated_family","des_product_family","des_product_type","des_filename"
"57025909-32","32","CHOCOLATE","BROWN","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Hats, scarves and gloves","Kerchief","datathon/images/2019_57025909_32.jpg"
"53103805-OR","OR","ORO","WHITE","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Jewellery","Earrings","datathon/images/2019_53103805_OR.jpg"
"57077880-02","02","OFFWHITE","WHITE","Female","Adult","SHE","P-PLANA","Tops","Shirts","Shirt","Shirt","datathon/images/2019_57077880_02.jpg"
"57022877-99","99","NEGRO","GREY","Female","Adult","SHE","P-PLANA","Tops","Shirts","Shirt","Shirt","datathon/images/2019_57022877_99.jpg"
"57064753-43","43","VERDE","GREEN","Female","Adult","SHE","P-PLANA","Bottoms","Trousers & leggings","Trousers","Trousers","datathon/images/2019_57064753_43.jpg"
"57047650-91","91","GRIS CLARO VIGORE","GREY","Female","Adult","SHE","T-TRICOT","Dresses, jumpsuits and Complete set","Dresses and jumpsuits","Dresses","Dress","datathon/images/2019_57047650_91.jpg"
"57064754-49","49","BOTELLA","GREEN","Female","Adult","SHE","P-PLANA","Dresses, jumpsuits and Complete set","Dresses and jumpsuits","Dresses","Dress","datathon/images/2019_57064754_49.jpg"
"67020051-PL","PL","PLATA","GREY","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Jewellery","Earrings","datathon/images/2020_67020051_PL.jpg"
"57029215-43","43","VERDE","GREEN","Female","Adult","SHE","K-CIRCULAR","Tops","T-shirts","T-shirt","T-Shirt","datathon/images/2019_57029215_43.jpg"
"57047699-99","99","NEGRO","GREY","Female","Adult","SHE","P-PLANA","Bottoms","Trousers & leggings","Trousers","Trousers","datathon/images/2019_57047699_99.jpg"
"57098262-99","99","NEGRO","GREY","Female","Adult","SHE","P-PLANA","Dresses, jumpsuits and Complete set","Dresses and jumpsuits","Dresses","Dress","datathon/images/2019_57098262_99.jpg"
"47007877-01","01","BLANCO","WHITE","Female","Adult","SHE","P-PLANA","Bottoms","Trousers & leggings","Trousers","Trousers","datathon/images/2023_47007877_01.jpg"
"57050105-20","20","NARANJA","ORANGE","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Wallets & cases","Cosmetic bag","datathon/images/2023_57050105_20.jpg"
"47067136-08","08","BEIGE","WHITE","Female","Adult","SHE","P-PLANA","Outerwear","Jackets and Blazers","Blazers","Blazer","datathon/images/2023_47067136_08.jpg"
"57050292-01","01","BLANCO","WHITE","Female","Adult","SHE","J-JEANS","Bottoms","Jeans","Jeans","Jeans","datathon/images/2023_57050292_01.jpg"
"57002883-TM","TM","TEJANO MEDIO","BLUE","Female","Adult","SHE","J-JEANS","Bottoms","Skirts and shorts","Shorts","Shorts","datathon/images/2023_57002883_TM.jpg"
"57003777-02","02","OFFWHITE","WHITE","Female","Adult","SHE","P-PLANA","Tops","Shirts","Shirt","Shirt","datathon/images/2023_57003777_02.jpg"
"57082881-56","56","NAVY","BLUE","Female","Adult","SHE","K-CIRCULAR","Tops","T-shirts","T-shirt","T-Shirt","datathon/images/2023_57082881_56.jpg"
"57052884-68","68","MALVA","PURPLE","Female","Adult","SHE","P-PLANA","Dresses, jumpsuits and Complete set","Dresses and jumpsuits","Jumpsuit","Jumpsuit","datathon/images/2023_57052884_68.jpg"
"57084007-99","99","NEGRO","GREY","Female","Adult","SHE","K-CIRCULAR","Dresses, jumpsuits and Complete set","Dresses and jumpsuits","Jumpsuit","Jumpsuit","datathon/images/2023_57084007_99.jpg"
"57094394-99","99","NEGRO","GREY","Female","Adult","SHE","P-PLANA","Bottoms","Trousers & leggings","Trousers","Trousers","datathon/images/2023_57094394_99.jpg"
"47039039-20","20","NARANJA","ORANGE","Female","Adult","SHE","K-CIRCULAR","Tops","Shirts","Shirt","Shirt","datathon/images/2023_47039039_20.jpg"
"57086306-91","91","GRIS CLARO VIGORE","GREY","Female","Adult","SHE","K-CIRCULAR","Bottoms","Skirts and shorts","Skirts","Skirt","datathon/images/2023_57086306_91.jpg"
"57035794-99","99","NEGRO","GREY","Female","Adult","SHE","T-TRICOT","Tops","Sweaters and Cardigans","Sweater","Sweater","datathon/images/2023_57035794_99.jpg"
"57005798-09","09","CAMEL","WHITE","Female","Adult","SHE","T-TRICOT","Tops","Sweaters and Cardigans","Sweater","Sweater","datathon/images/2023_57005798_09.jpg"
"57045970-68","68","MALVA","PURPLE","Female","Adult","SHE","J-JEANS","Bottoms","Jeans","Jeans","Jeans","datathon/images/2023_57045970_68.jpg"
"57035798-92","92","GRIS","GREY","Female","Adult","SHE","K-CIRCULAR","Dresses, jumpsuits and Complete set","Dresses and jumpsuits","Dresses","Dress","datathon/images/2023_57035798_92.jpg"
"57065984-99","99","NEGRO","GREY","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Footwear","Ankle Boots","datathon/images/2023_57065984_99.jpg"
"57047127-OR","OR","ORO","WHITE","Female","Adult","SHE","J-JEANS","Tops","Tops","Tops","Top","datathon/images/2023_57047127_OR.jpg"
"57079117-TO","TO","TEJANO OSCURO","BLUE","Female","Adult","SHE","J-JEANS","Outerwear","Jackets and Blazers","Jackets","Jacket","datathon/images/2023_57079117_TO.jpg"
"43065758-07","07","ARENA","WHITE","Female","Adult","SHE","P-PLANA","Outerwear","Jackets and Blazers","Blazers","Blazer","datathon/images/2019_43065758_07.jpg"
"41025822-05","05","CRUDO","WHITE","Female","Adult","SHE","P-PLANA","Bottoms","Skirts and shorts","Shorts","Bermudas","datathon/images/2019_41025822_05.jpg"
"53080589-45","45","AGUA","GREEN","Female","Adult","SHE","P-PLANA","Dresses, jumpsuits and Complete set","Dresses and jumpsuits","Dresses","Dress","datathon/images/2019_53080589_45.jpg"
"53090593-05","05","CRUDO","WHITE","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Belts and Ties","Belt","datathon/images/2019_53090593_05.jpg"
"53057015-99","99","NEGRO","GREY","Female","Adult","SHE","O-POLIPIEL","Outerwear","Jackets and Blazers","Jackets","Jacket","datathon/images/2019_53057015_99.jpg"
"53000887-01","01","BLANCO","WHITE","Female","Adult","SHE","K-CIRCULAR","Tops","T-shirts","T-shirt","T-Shirt","datathon/images/2019_53000887_01.jpg"
"51053041-81","81","ROSA PASTEL","PINK","Female","Adult","SHE","P-PLANA","Dresses, jumpsuits and Complete set","Dresses and jumpsuits","Dresses","Dress","datathon/images/2019_51053041_81.jpg"
"51083712-15","15","MOSTAZA","YELLOW","Female","Adult","SHE","P-PLANA","Bottoms","Trousers & leggings","Trousers","Trousers","datathon/images/2019_51083712_15.jpg"
"51005750-07","07","ARENA","WHITE","Female","Adult","SHE","P-PLANA","Bottoms","Trousers & leggings","Trousers","Trousers","datathon/images/2019_51005750_07.jpg"
"53063785-99","99","NEGRO","GREY","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Bags","Handbag","datathon/images/2019_53063785_99.jpg"
"53033792-02","02","OFFWHITE","WHITE","Female","Adult","SHE","K-CIRCULAR","Tops","Tops","Tops","Top","datathon/images/2019_53033792_02.jpg"
"53033794-09","09","CAMEL","WHITE","Female","Adult","SHE","P-PLANA","Tops","Shirts","Shirt","Blouse","datathon/images/2019_53033794_09.jpg"
"53093047-CG","CG","COGNAC","BROWN","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Footwear","Sandals","datathon/images/2019_53093047_CG.jpg"
"57087686-02","02","OFFWHITE","WHITE","Female","Adult","SHE","P-PLANA","Tops","Shirts","Shirt","Shirt","datathon/images/2019_57087686_02.jpg"
"57085927-99","99","NEGRO","GREY","Female","Adult","SHE","P-PLANA","Tops","Shirts","Shirt","Blouse","datathon/images/2019_57085927_99.jpg"
"47062533-02","02","OFFWHITE","WHITE","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Bags","Mini Bag","datathon/images/2023_47062533_02.jpg"
"47015920-20","20","NARANJA","ORANGE","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Glasses","Sunglasses","datathon/images/2023_47015920_20.jpg"
"47095838-99","99","NEGRO","GREY","Female","Adult","SHE","K-CIRCULAR","Accesories, Swim and Intimate","Swim and intimate","Swimwear","Bikini top","datathon/images/2023_47095838_99.jpg"
"57072508-31","31","TABACO","BROWN","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Footwear","Ankle Boots","datathon/images/2023_57072508_31.jpg"
"57040084-43","43","VERDE","GREEN","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Hats, scarves and gloves","Kerchief","datathon/images/2023_57040084_43.jpg"
"57010718-52","52","AZUL","BLUE","Female","Adult","SHE","P-PLANA","Tops","Shirts","Shirt","Shirt","datathon/images/2023_57010718_52.jpg"
"57050213-11","11","AMARILLO PASTEL","YELLOW","Female","Adult","SHE","P-PLANA","Tops","Shirts","Shirt","Blouse","datathon/images/2023_57050213_11.jpg"
"47069203-02","02","OFFWHITE","WHITE","Female","Adult","SHE","P-PLANA","Tops","Shirts","Shirt","Shirt","datathon/images/2023_47069203_02.jpg"
"57050259-43","43","VERDE","GREEN","Female","Adult","SHE","T-TRICOT","Tops","Sweaters and Cardigans","Sweater","Sweater","datathon/images/2023_57050259_43.jpg"
"57040317-02","02","OFFWHITE","WHITE","Female","Adult","SHE","K-CIRCULAR","Dresses, jumpsuits and Complete set","Dresses and jumpsuits","Dresses","Dress","datathon/images/2023_57040317_02.jpg"
"57020379-OR","OR","ORO","WHITE","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Jewellery","Necklace","datathon/images/2023_57020379_OR.jpg"
"57073804-99","99","NEGRO","GREY","Female","Adult","SHE","P-PLANA","Bottoms","Skirts and shorts","Skirts","Skirt","datathon/images/2023_57073804_99.jpg"
"57065963-30","30","MARRON","BROWN","Female","Adult","SHE","P-PLANA","Outerwear","Jackets and Blazers","Blazers","Blazer","datathon/images/2023_57065963_30.jpg"
"57075793-99","99","NEGRO","GREY","Female","Adult","SHE","T-TRICOT","Bottoms","Trousers & leggings","Trousers","Trousers","datathon/images/2023_57075793_99.jpg"
"57023815-70","70","ROJO","RED","Female","Adult","SHE","T-TRICOT","Tops","Sweaters and Cardigans","Sweater","Sweater","datathon/images/2023_57023815_70.jpg"
"57005982-40","40","VERDE PASTEL","GREEN","Female","Adult","SHE","P-PLANA","Bottoms","Trousers & leggings","Trousers","Trousers","datathon/images/2023_57005982_40.jpg"
"57065802-96","96","GRIS OSCURO VIGORE","GREY","Female","Adult","SHE","T-TRICOT","Bottoms","Skirts and shorts","Skirts","Skirt","datathon/images/2023_57065802_96.jpg"
"57093817-01","01","BLANCO","WHITE","Female","Adult","SHE","P-PLANA","Dresses, jumpsuits and Complete set","Dresses and jumpsuits","Jumpsuit","Jumpsuit","datathon/images/2023_57093817_01.jpg"
"57054434-43","43","VERDE","GREEN","Female","Adult","SHE","P-PLANA","Dresses, jumpsuits and Complete set","Dresses and jumpsuits","Dresses","Dress","datathon/images/2023_57054434_43.jpg"
"57007740-08","08","BEIGE","WHITE","Female","Adult","SHE","T-TRICOT","Tops","Sweaters and Cardigans","Sweater","Sweater","datathon/images/2023_57007740_08.jpg"
"57097715-43","43","VERDE","GREEN","Female","Adult","SHE","K-CIRCULAR","Tops","T-shirts","T-shirt","T-Shirt","datathon/images/2023_57097715_43.jpg"
"57005815-05","05","CRUDO","WHITE","Female","Adult","SHE","T-TRICOT","Tops","Sweaters and Cardigans","Sweater","Sweater","datathon/images/2023_57005815_05.jpg"
"57016024-08","08","BEIGE","WHITE","Female","Adult","SHE","P-PLANA","Outerwear","Coats and Parkas","Trenchcoats","Trenchcoat","datathon/images/2023_57016024_08.jpg"
"57098275-99","99","NEGRO","GREY","Female","Adult","SHE","P-PLANA","Dresses, jumpsuits and Complete set","Dresses and jumpsuits","Dresses","Dress","datathon/images/2023_57098275_99.jpg"
"57094784-70","70","ROJO","RED","Female","Adult","SHE","T-TRICOT","Tops","Sweaters and Cardigans","Sweater","Sweater","datathon/images/2023_57094784_70.jpg"
"57049123-02","02","OFFWHITE","WHITE","Female","Adult","SHE","K-CIRCULAR","Bottoms","Trousers & leggings","Trousers","Trousers","datathon/images/2023_57049123_02.jpg"
"57089121-05","05","CRUDO","WHITE","Female","Adult","SHE","P-PLANA","Outerwear","Jackets and Blazers","Jackets","Jacket","datathon/images/2023_57089121_05.jpg"
"43003751-OR","OR","ORO","WHITE","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Jewellery","Earrings","datathon/images/2019_43003751_OR.jpg"
"53083023-70","70","ROJO","RED","Female","Adult","SHE","P-PLANA","Dresses, jumpsuits and Complete set","Dresses and jumpsuits","Dresses","Dress","datathon/images/2019_53083023_70.jpg"
"53030593-08","08","BEIGE","WHITE","Female","Adult","SHE","P-PLANA","Tops","Shirts","Shirt","Blouse","datathon/images/2019_53030593_08.jpg"
"53060649-02","02","OFFWHITE","WHITE","Female","Adult","SHE","P-PLANA","Tops","Shirts","Shirt","Blouse","datathon/images/2019_53060649_02.jpg"
"53080662-99","99","NEGRO","GREY","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Wallets & cases","Cosmetic bag","datathon/images/2019_53080662_99.jpg"
"53073024-30","30","MARRON","BROWN","Female","Adult","SHE","P-PLANA","Bottoms","Skirts and shorts","Skirts","Skirt","datathon/images/2019_53073024_30.jpg"
"51053704-99","99","NEGRO","GREY","Female","Adult","SHE","P-PLANA","Outerwear","Jackets and Blazers","Blazers","Blazer","datathon/images/2019_51053704_99.jpg"
"53053028-02","02","OFFWHITE","WHITE","Female","Adult","SHE","P-PLANA","Dresses, jumpsuits and Complete set","Dresses and jumpsuits","Dresses","Dress","datathon/images/2019_53053028_02.jpg"
"53093034-OR","OR","ORO","WHITE","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Jewellery","Earrings","datathon/images/2019_53093034_OR.jpg"
"53083720-31","31","TABACO","BROWN","Female","Adult","SHE","P-PLANA","Outerwear","Coats and Parkas","Puffer coats","Puffer coat","datathon/images/2019_53083720_31.jpg"
"53020943-99","99","NEGRO","GREY","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Bags","Handbag","datathon/images/2019_53020943_99.jpg"
"53065018-30","30","MARRON","BROWN","Female","Adult","SHE","O-POLIPIEL","Outerwear","Jackets and Blazers","Jackets","Jacket","datathon/images/2019_53065018_30.jpg"
"53043765-02","02","OFFWHITE","WHITE","Female","Adult","SHE","P-PLANA","Tops","Shirts","Shirt","Shirt","datathon/images/2019_53043765_02.jpg"
"53025025-05","05","CRUDO","WHITE","Female","Adult","SHE","P-PLANA","Tops","Shirts","Shirt","Shirt","datathon/images/2019_53025025_05.jpg"
"53095033-01","01","BLANCO","WHITE","Female","Adult","SHE","P-PLANA","Tops","Tops","Tops","Top","datathon/images/2019_53095033_01.jpg"
"57085911-92","92","GRIS","GREY","Female","Adult","SHE","K-CIRCULAR","Tops","Sweaters and Cardigans","Sweatshirts","Sweatshirt","datathon/images/2019_57085911_92.jpg"
"57005929-PL","PL","PLATA","GREY","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Jewellery","Earrings","datathon/images/2019_57005929_PL.jpg"
"57005716-99","99","NEGRO","GREY","Female","Adult","SHE","K-CIRCULAR","Tops","Tops","Tops","Top","datathon/images/2019_57005716_99.jpg"
"57034380-99","99","NEGRO","GREY","Female","Adult","SHE","L-PIEL","Outerwear","Coats and Parkas","Coats","Coat","datathon/images/2019_57034380_99.jpg"
"57015943-TM","TM","TEJANO MEDIO","BLUE","Female","Adult","SHE","J-JEANS","Bottoms","Jeans","Jeans","Jeans","datathon/images/2019_57015943_TM.jpg"
"53967021-99","99","NEGRO","GREY","Female","Adult","SHE","P-PLANA","Tops","Shirts","Shirt","Shirt","datathon/images/2019_53967021_99.jpg"
"57017112-70","70","ROJO","RED","Female","Adult","SHE","P-PLANA","Tops","Shirts","Shirt","Blouse","datathon/images/2019_57017112_70.jpg"
"67070539-05","05","CRUDO","WHITE","Female","Adult","SHE","T-TRICOT","Tops","Sweaters and Cardigans","Sweater","Sweater","datathon/images/2020_67070539_05.jpg"
"57004004-99","99","NEGRO","GREY","Female","Adult","SHE","P-PLANA","Dresses, jumpsuits and Complete set","Dresses and jumpsuits","Dresses","Dress","datathon/images/2019_57004004_99.jpg"
"47042877-99","99","NEGRO","GREY","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Bags","Shoulder bag","datathon/images/2023_47042877_99.jpg"
"47043770-30","30","MARRON","BROWN","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Bags","Shoulder bag","datathon/images/2023_47043770_30.jpg"
"47074758-99","99","NEGRO","GREY","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Belts and Ties","Belt","datathon/images/2023_47074758_99.jpg"
"47005943-01","01","BLANCO","WHITE","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Footwear","Sandals","datathon/images/2023_47005943_01.jpg"
"47003777-DC","DC","DIRTY CLARO","BLUE","Female","Adult","SHE","J-JEANS","Bottoms","Jeans","Jeans","Jeans","datathon/images/2023_47003777_DC.jpg"
"57010748-70","70","ROJO","RED","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Gadgets","Beach Towel","datathon/images/2023_57010748_70.jpg"
"57000280-40","40","VERDE PASTEL","GREEN","Female","Adult","SHE","K-CIRCULAR","Tops","T-shirts","T-shirt","T-Shirt","datathon/images/2023_57000280_40.jpg"
"57040321-12","12","AMARILLO","YELLOW","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Bags","Handbag","datathon/images/2023_57040321_12.jpg"
"57054391-37","37","KHAKI","BROWN","Female","Adult","SHE","P-PLANA","Outerwear","Coats and Parkas","Trenchcoats","Trenchcoat","datathon/images/2023_57054391_37.jpg"
"57040381-52","52","AZUL","BLUE","Female","Adult","SHE","P-PLANA","Bottoms","Trousers & leggings","Trousers","Trousers","datathon/images/2023_57040381_52.jpg"
"57003802-81","81","ROSA PASTEL","PINK","Female","Adult","SHE","J-JEANS","Bottoms","Jeans","Jeans","Jeans","datathon/images/2023_57003802_81.jpg"
"57022891-99","99","NEGRO","GREY","Female","Adult","SHE","K-CIRCULAR","Tops","T-shirts","T-shirt","T-Shirt","datathon/images/2023_57022891_99.jpg"
"57073801-90","90","PERLA","GREY","Female","Adult","SHE","T-TRICOT","Dresses, jumpsuits and Complete set","Dresses and jumpsuits","Dresses","Dress","datathon/images/2023_57073801_90.jpg"
"57074407-37","37","KHAKI","BROWN","Female","Adult","SHE","K-CIRCULAR","Tops","Sweaters and Cardigans","Sweatshirts","Sweatshirt","datathon/images/2023_57074407_37.jpg"
"57050479-15","15","MOSTAZA","YELLOW","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Bags","Shoulder bag","datathon/images/2023_57050479_15.jpg"
"57083815-02","02","OFFWHITE","WHITE","Female","Adult","SHE","T-TRICOT","Bottoms","Skirts and shorts","Skirts","Skirt","datathon/images/2023_57083815_02.jpg"
"57083816-05","05","CRUDO","WHITE","Female","Adult","SHE","T-TRICOT","Bottoms","Skirts and shorts","Skirts","Skirt","datathon/images/2023_57083816_05.jpg"
"57085147-CU","CU","CUERO","BROWN","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Wallets & cases","Card holder","datathon/images/2023_57085147_CU.jpg"
"57087733-05","05","CRUDO","WHITE","Female","Adult","SHE","J-JEANS","Bottoms","Jeans","Jeans","Jeans","datathon/images/2023_57087733_05.jpg"
"57036020-DI","DI","DIRTY","BLUE","Female","Adult","SHE","J-JEANS","Bottoms","Jeans","Jeans","Jeans","datathon/images/2023_57036020_DI.jpg"
"57017728-91","91","GRIS CLARO VIGORE","GREY","Female","Adult","SHE","T-TRICOT","Tops","Sweaters and Cardigans","Sweater","Sweater","datathon/images/2023_57017728_91.jpg"
"57047740-07","07","ARENA","WHITE","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Hats, scarves and gloves","Gloves","datathon/images/2023_57047740_07.jpg"
"57037746-35","35","TOPO","BROWN","Female","Adult","SHE","K-CIRCULAR","Tops","T-shirts","T-shirt","T-Shirt","datathon/images/2023_57037746_35.jpg"
"57069083-99","99","NEGRO","GREY","Female","Adult","SHE","P-PLANA","Dresses, jumpsuits and Complete set","Dresses and jumpsuits","Jumpsuit","Jumpsuit","datathon/images/2023_57069083_99.jpg"
"57023824-01","01","BLANCO","WHITE","Female","Adult","SHE","T-TRICOT","Tops","Sweaters and Cardigans","Sweater","Sweater","datathon/images/2023_57023824_01.jpg"
"57005834-85","85","ROSA","PINK","Female","Adult","SHE","T-TRICOT","Tops","Sweaters and Cardigans","Sweater","Sweater","datathon/images/2023_57005834_85.jpg"
"43070802-OR","OR","ORO","WHITE","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Jewellery","Ring","datathon/images/2019_43070802_OR.jpg"
"43095817-99","99","NEGRO","GREY","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Footwear","Shoes","datathon/images/2019_43095817_99.jpg"
"53090547-01","01","BLANCO","WHITE","Female","Adult","SHE","J-JEANS","Dresses, jumpsuits and Complete set","Dresses and jumpsuits","Dresses","Dress","datathon/images/2019_53090547_01.jpg"
"53080567-CU","CU","CUERO","BROWN","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Bags","Handbag","datathon/images/2019_53080567_CU.jpg"
"53040628-50","50","CELESTE","BLUE","Female","Adult","SHE","P-PLANA","Tops","Tops","Tops","Top","datathon/images/2019_53040628_50.jpg"
"53050668-25","25","SALMON","ORANGE","Female","Adult","SHE","P-PLANA","Tops","Shirts","Shirt","Shirt","datathon/images/2019_53050668_25.jpg"
"53073716-56","56","NAVY","BLUE","Female","Adult","SHE","P-PLANA","Tops","Shirts","Shirt","Blouse","datathon/images/2019_53073716_56.jpg"
"53060873-56","56","NAVY","BLUE","Female","Adult","SHE","P-PLANA","Dresses, jumpsuits and Complete set","Dresses and jumpsuits","Dresses","Dress","datathon/images/2019_53060873_56.jpg"
"53050722-28","28","TERRACOTA","ORANGE","Female","Adult","SHE","K-CIRCULAR","Tops","T-shirts","T-shirt","T-Shirt","datathon/images/2019_53050722_28.jpg"
"53000891-50","50","CELESTE","BLUE","Female","Adult","SHE","P-PLANA","Dresses, jumpsuits and Complete set","Dresses and jumpsuits","Dresses","Dress","datathon/images/2019_53000891_50.jpg"
"53063037-OR","OR","ORO","WHITE","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Jewellery","Earrings","datathon/images/2019_53063037_OR.jpg"
"53073041-04","04","MARFIL","WHITE","Female","Adult","SHE","T-TRICOT","Dresses, jumpsuits and Complete set","Dresses and jumpsuits","Jumpsuit","Jumpsuit","datathon/images/2019_53073041_04.jpg"
"53063752-99","99","NEGRO","GREY","Female","Adult","SHE","P-PLANA","Dresses, jumpsuits and Complete set","Dresses and jumpsuits","Dresses","Dress","datathon/images/2019_53063752_99.jpg"
"53013769-99","99","NEGRO","GREY","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Belts and Ties","Belt","datathon/images/2019_53013769_99.jpg"
"53031038-99","99","NEGRO","GREY","Female","Adult","SHE","P-PLANA","Dresses, jumpsuits and Complete set","Dresses and jumpsuits","Dresses","Dress","datathon/images/2019_53031038_99.jpg"
"53023748-32","32","CHOCOLATE","BROWN","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Bags","Handbag","datathon/images/2019_53023748_32.jpg"
"57054377-99","99","NEGRO","GREY","Female","Adult","SHE","K-CIRCULAR","Dresses, jumpsuits and Complete set","Dresses and jumpsuits","Dresses","Dress","datathon/images/2019_57054377_99.jpg"
"57055921-02","02","OFFWHITE","WHITE","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Footwear","Ankle Boots","datathon/images/2019_57055921_02.jpg"
"57087106-99","99","NEGRO","GREY","Female","Adult","SHE","P-PLANA","Outerwear","Jackets and Blazers","Blazers","Blazer","datathon/images/2019_57087106_99.jpg"
"67022505-85","85","ROSA","PINK","Female","Adult","SHE","T-TRICOT","Tops","Sweaters and Cardigans","Sweater","Sweater","datathon/images/2020_67022505_85.jpg"
"47037720-CU","CU","CUERO","BROWN","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Bags","Clutch and Pochettes","datathon/images/2023_47037720_CU.jpg"
"47065933-02","02","OFFWHITE","WHITE","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Bags","Clutch and Pochettes","datathon/images/2023_47065933_02.jpg"
"47055852-99","99","NEGRO","GREY","Female","Adult","SHE","K-CIRCULAR","Tops","T-shirts","T-shirt","T-Shirt","datathon/images/2023_47055852_99.jpg"
"57020041-99","99","NEGRO","GREY","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Bags","Handbag","datathon/images/2023_57020041_99.jpg"
"57062506-01","01","BLANCO","WHITE","Female","Adult","SHE","K-CIRCULAR","Tops","Tops","Tops","Top","datathon/images/2023_57062506_01.jpg"
"57050177-52","52","AZUL","BLUE","Female","Adult","SHE","K-CIRCULAR","Dresses, jumpsuits and Complete set","Dresses and jumpsuits","Dresses","Dress","datathon/images/2023_57050177_52.jpg"
"57010279-88","88","FUCSIA","PINK","Female","Adult","SHE","K-CIRCULAR","Dresses, jumpsuits and Complete set","Dresses and jumpsuits","Dresses","Dress","datathon/images/2023_57010279_88.jpg"
"57010316-02","02","OFFWHITE","WHITE","Female","Adult","SHE","K-CIRCULAR","Dresses, jumpsuits and Complete set","Dresses and jumpsuits","Dresses","Dress","datathon/images/2023_57010316_02.jpg"
"57012880-05","05","CRUDO","WHITE","Female","Adult","SHE","J-JEANS","Bottoms","Jeans","Jeans","Jeans","datathon/images/2023_57012880_05.jpg"
"57085785-35","35","TOPO","BROWN","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Swim and intimate","Intimate","Socks","datathon/images/2023_57085785_35.jpg"
"57050437-OR","OR","ORO","WHITE","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Jewellery","Earrings","datathon/images/2023_57050437_OR.jpg"
"57085137-TM","TM","TEJANO MEDIO","BLUE","Female","Adult","SHE","J-JEANS","Bottoms","Jeans","Jeans","Jeans","datathon/images/2023_57085137_TM.jpg"
"57074008-56","56","NAVY","BLUE","Female","Adult","SHE","K-CIRCULAR","Bottoms","Trousers & leggings","Trousers","Trousers","datathon/images/2023_57074008_56.jpg"
"57012003-87","87","CORAL","PINK","Female","Adult","SHE","P-PLANA","Dresses, jumpsuits and Complete set","Dresses and jumpsuits","Dresses","Dress","datathon/images/2023_57012003_87.jpg"
