"cod_outfit","cod_modelo_color"
6938,"57006310-01"
6938,"67030570-99"
6938,"57078262-92"
7770,"57005937-OR"
7770,"53005785-99"
7770,"57006706-99"
7770,"57098262-99"
3286,"57006704-32"
3286,"53025778-31"
3286,"57027691-TO"
3286,"53003761-OR"
3286,"57007902-07"
3806,"57006704-32"
3806,"53025775-99"
3806,"53033775-OR"
3806,"57016305-15"
3806,"57005938-OR"
3867,"57006704-32"
3867,"51085025-90"
3867,"57035910-07"
3867,"57045915-05"
3867,"57017881-37"
3886,"57006704-32"
3886,"53003742-TO"
3886,"53061096-OR"
3886,"53067683-16"
3886,"57017898-05"
1303,"53033778-50"
1303,"57047886-99"
1303,"57008632-99"
4342,"53033778-50"
4342,"53055714-17"
4342,"57057686-56"
4342,"53065725-17"
4342,"57027884-OR"
3810,"51053732-99"
3810,"51063787-01"
3810,"57016704-15"
3810,"57005930-OR"
3810,"53010568-TN"
1709,"57015902-31"
1709,"53033750-32"
1709,"53055727-08"
1710,"57015902-31"
1710,"53033750-32"
1710,"53055727-32"
6930,"53020943-99"
6930,"57085938-10"
6930,"57037879-OR"
6930,"53000674-99"
6930,"57077882-56"
3830,"53087684-32"
3830,"53013751-OR"
3830,"57037879-OR"
3830,"57017691-99"
3830,"53083762-57"
3909,"53087684-32"
3909,"57005930-OR"
3909,"57005907-99"
3909,"57018634-99"
3909,"57068631-99"
798,"51055745-TO"
798,"67040070-OR"
798,"67050548-48"
798,"53010573-TO"
798,"53050889-05"
6418,"51055745-TO"
6418,"57065939-99"
6418,"53015772-99"
6418,"57027691-TO"
6418,"57005930-OR"
3056,"53005748-02"
3056,"57007653-30"
3056,"57005926-OR"
3056,"57009215-05"
3167,"53005748-02"
3167,"53013774-32"
3167,"57007653-30"
3167,"53015714-05"
3167,"57005926-OR"
3167,"57009215-05"
3167,"43093712-OR"
1011,"53090751-OR"
1011,"51065775-09"
1011,"53090667-28"
1011,"53020746-28"
2474,"53090751-OR"
2474,"53090663-32"
2474,"53050625-28"
2474,"53093047-CG"
3310,"51063787-50"
3310,"51067019-99"
3310,"67090588-99"
3310,"53030683-OR"
3310,"57008632-99"
3310,"53067684-99"
3310,"57057700-99"
7328,"53055714-06"
7328,"53985035-37"
7328,"57085941-32"
7328,"57087896-09"
4788,"57065904-30"
4788,"53033787-92"
4788,"57037883-90"
366,"51065031-05"
366,"53075713-06"
366,"57075783-30"
366,"53025778-31"
3287,"53025778-31"
3287,"57065921-30"
3287,"53033750-32"
3287,"57027691-TO"
3287,"53003761-OR"
3287,"57007902-56"
2134,"57005509-99"
2134,"53075744-20"
2134,"53033754-52"
2134,"53033786-15"
2134,"53060749-30"
1910,"53060712-03"
1910,"57037512-CG"
1910,"53063785-28"
1910,"57005925-OR"
730,"53055714-99"
730,"51073785-99"
730,"57008632-99"
730,"53003786-99"
3831,"53055714-99"
3831,"57095923-99"
3831,"57037879-OR"
3831,"57047651-99"
3831,"57017692-99"
3872,"53055714-99"
3872,"57017886-OR"
7603,"53055714-99"
7603,"51093789-30"
7603,"53020667-99"
7603,"53110889-99"
7603,"57095904-99"
4796,"57037894-99"
4796,"57037879-OR"
4796,"53050625-99"
4796,"67050574-30"
3068,"53050734-99"
3068,"53070968-79"
3068,"53093047-CG"
3068,"57005941-OR"
946,"51073785-09"
946,"53045716-09"
946,"53015773-33"
779,"51073785-99"
779,"57065939-99"
779,"53075713-94"
779,"53000591-01"
779,"53005782-15"
1329,"53035715-06"
1329,"57027691-TO"
1329,"57014380-32"
3649,"53035715-06"
3649,"57027691-TO"
3649,"57014380-32"
4730,"53033778-52"
4730,"53000591-02"
4730,"57037651-77"
4730,"57005930-OR"
4730,"57007894-05"
1711,"53055727-99"
1711,"67050590-99"
1711,"67020562-OR"
1711,"67060560-OR"
1711,"67070592-08"
1711,"67090516-99"
4793,"53005760-92"
4793,"57037879-OR"
4793,"57085902-18"
4793,"57037890-05"
4793,"53025752-05"
1322,"57065921-30"
1322,"57085902-18"
1322,"53035019-77"
1322,"53013753-17"
4618,"57065921-30"
4618,"53010582-TU"
4618,"53053794-OR"
4618,"53070809-92"
4618,"57035785-99"
3898,"53025026-99"
3898,"53015772-99"
3898,"57006706-99"
3898,"57018266-99"
3949,"57005133-99"
3949,"67090588-99"
3949,"67020050-PL"
3949,"67090517-99"
3949,"67010057-PL"
3949,"57019221-CO"
1979,"43005033-OR"
1979,"41045815-45"
1979,"53070609-99"
1979,"41095814-45"
1979,"43085770-01"
1076,"53090800-OR"
1076,"53023748-32"
1076,"53020746-28"
1076,"53035745-43"
915,"57065939-99"
915,"53135025-99"
915,"57005930-OR"
915,"53015738-02"
915,"57058630-52"
3063,"57065939-99"
3063,"57005907-99"
3063,"57005935-OR"
3063,"57009081-99"
6144,"57065939-99"
6144,"53023748-32"
6144,"57005930-OR"
6144,"57058630-52"
6144,"57097887-79"
5479,"53045776-32"
5479,"57048632-99"
5479,"67060573-30"
6953,"57015923-OR"
6953,"57095923-99"
6953,"67040070-OR"
6953,"67080595-30"
6953,"57039087-16"
6953,"57079077-16"
795,"53075713-94"
795,"67040070-OR"
795,"53020726-99"
795,"53135025-99"
795,"53010573-TG"
952,"53075713-94"
952,"53017024-TG"
952,"67090588-99"
952,"67040070-OR"
952,"57095902-99"
1732,"53075713-94"
1732,"57037651-77"
1732,"53031046-99"
1732,"53023736-TN"
1732,"53055781-OR"
570,"53005774-99"
570,"53015772-99"
570,"53000586-70"
570,"57069212-99"
716,"53005774-99"
716,"53003761-OR"
716,"57077881-70"
7320,"53005774-99"
7320,"53003761-OR"
7320,"57006706-99"
7320,"57067878-70"
7320,"57087878-70"
1092,"53053749-37"
1092,"53003752-37"
1092,"53023784-07"
1092,"53053794-OR"
1308,"53053749-37"
1308,"53033783-10"
1308,"53135800-07"
6116,"57035939-DO"
6116,"57027691-TO"
6116,"57057700-99"
6116,"53061096-OR"
6116,"53075744-02"
6116,"57018631-99"
6116,"57085941-32"
6116,"57057882-08"
6116,"57027686-05"
5503,"57085938-10"
5503,"57037698-02"
5503,"57027691-TO"
5503,"53025775-CU"
5503,"57049203-35"
7090,"57085938-10"
7090,"57084382-52"
7812,"57085938-10"
7812,"57047886-99"
7812,"53030573-99"
7812,"67020050-PL"
7812,"67000502-99"
7812,"53085735-99"
7812,"67040535-99"
7812,"57099209-PL"
7812,"67010045-99"
7175,"53075713-99"
7175,"57037879-OR"
7175,"57085902-18"
7175,"57037890-05"
6417,"53045770-02"
6417,"57065939-02"
6417,"53020667-99"
1906,"53015772-99"
1906,"57067881-43"
1906,"53063778-43"
1906,"57007887-90"
1906,"53085739-99"
7324,"53015772-99"
7324,"53020726-99"
7324,"53003761-OR"
7324,"57017877-70"
7324,"57037888-99"
7324,"57087887-70"
3161,"57095923-99"
3161,"57005550-05"
3161,"57007598-99"
3161,"57057887-99"
4390,"57095923-99"
4390,"67020050-PL"
4390,"67000502-99"
4390,"57029209-99"
4390,"67091003-99"
6059,"57095923-99"
6059,"57057700-99"
6059,"53050600-99"
6059,"53050722-01"
6059,"57096704-99"
7610,"57095923-99"
7610,"53003761-OR"
7610,"57067889-70"
3131,"57037879-OR"
3131,"57006706-99"
3131,"57067893-99"
3180,"57037879-OR"
3180,"57006706-99"
3180,"53050625-99"
3180,"57019028-30"
3180,"57007694-91"
4397,"57037879-OR"
4397,"57059211-99"
4397,"67030557-99"
4397,"67090025-99"
4397,"57029217-83"
4734,"57037879-OR"
4734,"53025781-99"
4734,"57007598-99"
4734,"57006714-05"
4734,"57037657-30"
4865,"57037879-OR"
4865,"67090588-99"
4865,"67040535-99"
4865,"67050054-PL"
4865,"57039210-43"
5388,"57037879-OR"
5388,"57006706-99"
5388,"53050625-99"
5388,"57007704-99"
5388,"57047656-99"
6145,"57037879-OR"
6145,"57027691-TO"
6145,"57006706-99"
6145,"53060585-99"
6145,"57058631-99"
7618,"57037879-OR"
7618,"57047652-OR"
7618,"57095902-99"
7618,"57095932-85"
7618,"57086706-77"
7828,"57037879-OR"
7828,"57017891-05"
7828,"57025904-15"
7828,"67030570-99"
7828,"57919028-30"
603,"67090588-99"
603,"67040070-OR"
603,"53135025-99"
603,"53000642-TN"
603,"53095751-99"
1999,"67090588-99"
1999,"67040070-OR"
1999,"53135025-99"
1999,"53095751-99"
1999,"53070671-TN"
3355,"67090588-99"
3355,"67050049-PL"
3355,"57009209-99"
3355,"57079203-99"
3355,"67040559-16"
3939,"67090588-99"
3939,"53083787-OR"
3939,"57075936-99"
3939,"67020576-99"
3939,"57019209-99"
4386,"67090588-99"
4386,"53095013-99"
4386,"67020050-PL"
4386,"67090517-99"
4386,"67000502-99"
4386,"57089210-99"
4386,"67010055-PL"
4386,"57029204-99"
4386,"67000161-99"
4829,"67090588-99"
4829,"53003761-OR"
4829,"67000502-99"
4829,"67010057-PL"
4829,"57069078-99"
4829,"57039052-99"
4829,"57039058-99"
4831,"67090588-99"
4831,"53003761-OR"
4831,"67000502-99"
4831,"67010057-PL"
4831,"57069078-99"
4831,"57039052-99"
4831,"57039058-99"
4857,"67090588-99"
4857,"53000591-TM"
4857,"57055943-99"
4857,"57037880-OR"
4857,"57039204-52"
4861,"67090588-99"
4861,"67050049-PL"
4861,"67040535-99"
4861,"57019207-99"
4861,"57039206-99"
6603,"67040070-OR"
6603,"57069076-TO"
6603,"67050573-99"
6603,"67030570-99"
6603,"57069403-99"
3907,"53000578-TO"
3907,"53075744-02"
3907,"57018631-99"
3907,"57085941-32"
602,"57069212-99"
602,"53000642-TM"
602,"57087691-TM"
602,"53040541-TN"
602,"53040604-CU"
789,"57069212-99"
789,"53010568-TG"
789,"57047892-94"
789,"53025778-99"
3953,"57069212-99"
3953,"67050049-PL"
3953,"57009213-57"
3953,"57019604-56"
3953,"67040526-99"
4862,"57069212-99"
4862,"67050049-PL"
4862,"67040535-99"
4862,"57039207-99"
4862,"67050079-99"
6146,"57069212-99"
6146,"53003761-OR"
6146,"57067893-99"
6146,"57069076-TO"
6146,"57058632-43"
6177,"57069212-99"
6177,"53003761-OR"
6177,"53067684-99"
6177,"57007879-95"
6177,"57059604-01"
950,"57065915-OR"
950,"53015779-49"
950,"57035130-43"
950,"53020585-99"
5301,"53020726-99"
5301,"53080710-05"
5301,"57045903-99"
5301,"57065944-99"
6819,"53020726-99"
6819,"57075936-99"
6819,"67020053-OR"
6819,"57028632-99"
3755,"53000591-02"
3755,"57015946-05"
3364,"53000591-TN"
3364,"53050591-GM"
3364,"57047658-99"
3364,"67020050-PL"
3364,"67030527-PL"
3364,"57009216-99"
591,"53000618-11"
591,"53050614-11"
591,"53040614-11"
1384,"53000618-11"
1384,"53050614-11"
1384,"53040614-11"
1557,"53000618-11"
1557,"53050614-11"
1557,"53040614-11"
5300,"53030679-32"
5300,"53063755-TM"
5300,"53075744-99"
5300,"57035922-99"
5300,"57045903-15"
1544,"53050591-GM"
1544,"57029206-99"
1544,"67000159-99"
1544,"67020050-PL"
1544,"67090517-99"
5506,"53050591-GM"
5506,"57037882-90"
5506,"57049207-01"
5506,"67060599-01"
5508,"53050591-GM"
5508,"67020050-PL"
5508,"67090517-99"
5508,"67010055-PL"
5508,"67030557-99"
5508,"57049208-85"
6597,"53050591-GM"
6597,"57035784-TN"
6597,"67020050-PL"
6597,"57075936-99"
6597,"67030527-PL"
6597,"57069209-57"
6599,"53050591-GM"
6599,"67020050-PL"
6599,"67090517-99"
6599,"57069210-99"
6599,"67060603-TN"
6808,"53050591-GM"
6808,"53050579-99"
6808,"57005931-OR"
6808,"57075921-OR"
713,"53003757-09"
713,"57028256-30"
713,"57087880-99"
713,"53043753-09"
3055,"57087880-99"
3055,"57005925-OR"
3055,"57067700-74"
6125,"53065024-43"
6125,"57057891-99"
6125,"57007704-99"
1907,"53003761-OR"
1907,"53063778-70"
1907,"57067879-99"
3868,"53003781-OR"
3868,"53083770-99"
3868,"53093722-99"
3868,"57017882-99"
3868,"57027893-99"
7344,"57025921-OR"
7344,"57095902-99"
7344,"57037880-OR"
7344,"57088629-99"
7344,"67106705-99"
5407,"57008632-99"
5407,"53073726-OR"
5407,"53060879-99"
5407,"53080681-37"
5407,"57047702-07"
5407,"57085920-OR"
7352,"57008632-99"
7352,"57037880-OR"
7352,"67030559-99"
7352,"57089078-99"
1668,"57039203-43"
1668,"53053753-52"
1668,"57009214-43"
1668,"67000502-99"
3350,"67010080-OR"
3350,"67000502-99"
3350,"57009206-99"
3350,"67020051-PL"
3350,"67040165-99"
3365,"67010080-OR"
3365,"67000502-99"
3365,"67040059-PL"
3365,"57009217-99"
6971,"67010080-OR"
6971,"67040052-PL"
6971,"67030557-99"
6971,"67030559-99"
6971,"57059211-81"
6971,"57079209-85"
3317,"67050548-48"
3317,"57075936-99"
3317,"57009049-52"
3317,"67040052-PL"
810,"53010615-81"
810,"53010617-81"
810,"53020617-81"
813,"53010615-81"
813,"53010617-81"
813,"53020617-81"
990,"53010615-81"
990,"53010617-81"
990,"53020617-81"
889,"53013769-99"
889,"53083770-99"
889,"57005940-OR"
3069,"53015016-05"
3069,"57005942-OR"
3069,"67010036-01"
3275,"53015029-TM"
3275,"53085030-TM"
3275,"57095919-61"
3275,"57007893-OR"
3275,"57025903-68"
4196,"53015029-TM"
4196,"53085030-TM"
4196,"57095919-61"
4196,"57025903-68"
7607,"53015029-TM"
7607,"53085030-TM"
7607,"57095919-61"
7607,"57025903-68"
947,"53015774-08"
947,"53067018-02"
947,"57009027-02"
5504,"53020585-99"
5504,"67010055-PL"
5504,"67090025-99"
5504,"57049205-99"
3070,"57057700-99"
3070,"57014380-32"
3070,"57015938-99"
3070,"57005943-OR"
1291,"57006706-99"
1291,"53033761-70"
1291,"57047879-78"
3354,"57006706-99"
3354,"57055943-99"
3354,"67040165-99"
3354,"57009208-99"
3354,"57059211-99"
2409,"57005939-OR"
2409,"53090662-99"
2409,"57089207-99"
1787,"53060624-99"
1787,"53070663-99"
1787,"53070624-99"
1984,"53060624-99"
1984,"53070663-99"
1984,"53070624-99"
1993,"53060624-99"
1993,"53070663-99"
1993,"53070624-99"
1214,"53030688-43"
1214,"51020639-12"
1301,"53033772-08"
1301,"53073771-08"
1301,"53083771-08"
1301,"53093771-08"
2101,"53033772-08"
2101,"53073771-08"
2101,"53083771-08"
2101,"53093771-08"
2315,"53033772-08"
2315,"53073771-08"
2315,"53083771-08"
2315,"53093771-08"
2493,"53033772-08"
2493,"53073771-08"
2493,"53083771-08"
2493,"53093771-08"
1318,"53035016-05"
1318,"53073748-05"
1318,"53045016-05"
1481,"53035016-05"
1481,"53073748-05"
1481,"53045016-05"
2091,"53035016-05"
2091,"53073748-05"
2091,"53045016-05"
1319,"53035016-09"
1319,"53073748-09"
1319,"53045016-09"
1482,"53035016-09"
1482,"53073748-09"
1482,"53045016-09"
2092,"53035016-09"
2092,"53073748-09"
2092,"53045016-09"
1320,"53035016-91"
1320,"53073748-91"
1320,"53045016-91"
1483,"53035016-91"
1483,"53073748-91"
1483,"53045016-91"
2093,"53035016-91"
2093,"53073748-91"
2093,"53045016-91"
4198,"57007598-99"
4198,"53043753-99"
4198,"57025903-99"
4198,"53003757-99"
6548,"53070717-OR"
6548,"53050619-99"
6548,"57067893-99"
6548,"57007893-OR"
1415,"53041009-05"
1415,"53091015-05"
1415,"53051009-05"
1415,"53061011-05"
1415,"53091008-05"
1624,"53041009-05"
1624,"53091015-05"
1624,"53051009-05"
1624,"53061011-05"
1624,"53091008-05"
1842,"53041009-05"
1842,"53091015-05"
1842,"53051009-05"
1842,"53061011-05"
1842,"53091008-05"
2449,"53041009-05"
2449,"53091015-05"
2449,"53051009-05"
2449,"53061011-05"
2449,"53091008-05"
2450,"53041009-05"
2450,"53091015-05"
2450,"53051009-05"
2450,"53061011-05"
2450,"53091008-05"
3353,"53073766-99"
3353,"67020050-PL"
3353,"57069078-99"
3353,"57009208-43"
3353,"67020576-99"
1836,"57019028-99"
1836,"67000502-99"
1836,"57055943-99"
1836,"67050049-PL"
1836,"53060969-99"
6592,"57029206-99"
6592,"67020050-PL"
6592,"67030559-99"
6592,"57039205-99"
6592,"57069203-43"
3356,"67020050-PL"
3356,"67040559-16"
3356,"57009210-99"
4362,"67020050-PL"
4362,"67000502-99"
4362,"57028632-99"
4866,"67020050-PL"
4866,"67000502-99"
4866,"67040059-PL"
4866,"67030559-99"
4866,"67050054-PL"
4866,"57039212-99"
4866,"67050027-99"
7811,"67020050-PL"
7811,"67000502-99"
7811,"67040535-99"
7811,"57099207-99"
1571,"53050664-15"
1571,"53080662-15"
2209,"53050664-15"
2209,"53080662-15"
1572,"53050664-20"
1572,"53080662-20"
2210,"53050664-20"
2210,"53080662-20"
1573,"53050664-43"
1573,"53080662-43"
2211,"53050664-43"
2211,"53080662-43"
1574,"53050664-99"
1574,"53080662-99"
2212,"53050664-99"
2212,"53080662-99"
1580,"53050706-81"
1580,"53150706-85"
2564,"53050706-81"
2564,"53150706-85"
1620,"53050943-50"
1620,"53070943-50"
2034,"53050943-50"
2034,"53070943-50"
1621,"53050943-52"
1621,"53070943-52"
2035,"53050943-52"
2035,"53070943-52"
1835,"67000502-99"
1835,"53060969-02"
1835,"57009604-99"
1835,"57055943-99"
1835,"67050049-PL"
4394,"67000502-99"
4394,"57037882-90"
4394,"57029214-99"
4394,"57075921-OR"
7379,"67000502-99"
7379,"57089210-99"
7379,"67020053-OR"
7379,"67010055-PL"
7379,"67040165-99"
7379,"57019219-99"
7379,"67030559-99"
7379,"57029204-99"
7379,"67000161-99"
1684,"53053778-81"
1684,"53013785-81"
1684,"53073783-81"
4871,"67020562-OR"
4871,"57040000-28"
4871,"67022505-85"
4871,"57050000-28"
4871,"67084436-04"
4872,"67020562-OR"
4872,"67084436-04"
4872,"57040000-56"
4872,"57050000-56"
4872,"67030524-56"
5516,"67020562-OR"
5516,"57040000-28"
5516,"67022505-85"
5516,"57050000-28"
5516,"67084436-04"
5517,"67020562-OR"
5517,"67084436-04"
5517,"57040000-56"
5517,"57050000-56"
5517,"67030524-56"
1759,"53060576-28"
1759,"53070581-28"
1759,"53080581-28"
1968,"53060576-28"
1968,"53070581-28"
1968,"53080581-28"
2180,"53060576-28"
2180,"53070581-28"
2180,"53080581-28"
1760,"53060576-92"
1760,"53070581-92"
1760,"53080581-92"
1760,"53060581-92"
1761,"53060576-92"
1761,"53070581-92"
1761,"53080581-92"
1761,"53060581-92"
1969,"53060576-92"
1969,"53070581-92"
1969,"53080581-92"
1969,"53060581-92"
2181,"53060576-92"
2181,"53070581-92"
2181,"53080581-92"
2181,"53060581-92"
6594,"57055943-99"
6594,"67050049-PL"
6594,"67020576-99"
6594,"57017105-99"
6594,"57069203-99"
6596,"57055943-99"
6596,"57059208-99"
6596,"57069208-99"
6596,"67050100-99"
2565,"53070789-07"
2565,"53168831-TO"
2565,"53127741-OR"
2565,"57025920-OR"
7807,"67040059-PL"
7807,"67030559-99"
7807,"57099203-53"
2579,"57000002-02"
2579,"47073771-TM"
2579,"47005936-TC"
2579,"47092530-31"
2579,"47074758-99"
4479,"47073771-TM"
4479,"57010037-05"
4479,"57040072-52"
4479,"57031169-01"
4479,"47007651-08"
5680,"47073771-TM"
5680,"57020012-01"
5680,"47004377-01"
5680,"47036304-08"
5680,"47027131-01"
5680,"57050275-01"
2808,"47005936-TC"
2808,"57002882-TC"
2808,"57029404-85"
2808,"47061508-99"
4989,"47005936-TC"
4989,"47004028-PL"
4989,"47054426-PL"
4989,"57040289-TM"
4989,"47093770-TM"
5603,"47005936-TC"
5603,"57050294-PL"
5603,"57050111-PL"
5603,"57029404-02"
5603,"47044016-01"
5603,"57050157-TM"
5603,"47084027-TO"
5603,"47062533-02"
7386,"47092530-31"
7386,"57010037-99"
7386,"57000276-OR"
7386,"57010274-OR"
7386,"57090762-37"
2648,"47074758-99"
2648,"47005851-OR"
2648,"47037825-99"
2648,"57000280-02"
2648,"47035870-TM"
2648,"47065948-99"
2648,"47075864-32"
2648,"47083267-TM"
2648,"47005944-32"
2650,"47074758-99"
2650,"47024004-99"
2650,"57010037-99"
2650,"57000281-99"
2650,"47014005-99"
2650,"47073770-TN"
2650,"57010042-05"
2650,"47047832-99"
2650,"57040274-OR"
2650,"57010603-99"
3540,"47074758-99"
3540,"57012511-99"
3540,"57010951-99"
3540,"47043772-TO"
3540,"47014765-99"
3656,"47074758-99"
3656,"47078255-99"
3656,"57050294-OR"
3656,"57012518-99"
3656,"57024405-TN"
3656,"57053800-99"
3656,"57014404-06"
3656,"57035138-TN"
3682,"47074758-99"
3682,"57005813-94"
3682,"57024421-99"
3682,"57024428-01"
3682,"57014778-01"
3682,"57015809-02"
3720,"47074758-99"
3720,"57005813-94"
3720,"57094014-05"
3720,"57004052-PL"
3720,"57055147-99"
3720,"57035794-05"
3720,"57024421-99"
3720,"57024428-01"
3720,"57014778-01"
3720,"57015809-02"
4131,"47074758-99"
4131,"57005813-94"
4131,"57024421-99"
4131,"57024428-01"
4131,"57015809-02"
4404,"47074758-99"
4404,"57010037-99"
4404,"57082889-PL"
4404,"57002882-TC"
4404,"57029404-85"
4404,"57091166-TM"
7498,"47074758-99"
7498,"57050294-PL"
7498,"57092512-99"
7498,"57094038-99"
7498,"57076309-99"
2580,"57000002-85"
2580,"47093771-TM"
2580,"47003773-01"
2580,"47094023-PL"
2580,"47047120-TC"
2580,"47005943-01"
3503,"47093771-TM"
3503,"47037825-CU"
3503,"47005919-CU"
3503,"57010644-56"
3503,"47002531-OR"
2764,"47003773-01"
2764,"57000033-01"
2764,"47037835-OR"
2764,"47027135-50"
2764,"57001109-52"
2764,"57050185-TC"
3491,"47003773-01"
3491,"47005943-01"
3491,"47087877-01"
3491,"57010632-52"
3491,"57040046-PL"
4432,"47003773-01"
4432,"47044016-01"
4432,"47005933-TC"
4432,"57030038-TM"
4432,"47074759-TM"
4449,"47003773-01"
4449,"47005943-01"
4449,"47040358-OR"
4449,"47043772-TO"
4449,"57030254-88"
4973,"47003773-01"
4973,"57020047-99"
4973,"47012502-99"
4973,"47087877-01"
4973,"57012511-99"
4973,"47095850-OR"
4973,"57040272-99"
4973,"47044016-01"
4973,"47010422-99"
4973,"57050272-99"
4973,"47055866-50"
5013,"47003773-01"
5013,"57010037-99"
5013,"47037834-OR"
5013,"57040312-05"
5013,"47037128-08"
5020,"47003773-01"
5020,"57020012-01"
5020,"57000438-OR"
5020,"47035852-OR"
5020,"57040317-20"
5021,"47003773-01"
5021,"57020012-01"
5021,"57000438-OR"
5021,"47035852-OR"
5021,"57040317-20"
5645,"47003773-01"
5645,"47005943-01"
5645,"47097833-OR"
5645,"47037834-OR"
5645,"57050245-20"
5676,"47003773-01"
5676,"47012502-99"
5676,"57012511-99"
5676,"47095850-OR"
5676,"57040272-99"
5676,"57050272-99"
5676,"47074001-05"
5676,"37095905-56"
6991,"47003773-01"
6991,"47005943-01"
6991,"47094023-OR"
6991,"57082001-37"
6991,"47067109-40"
2634,"47094023-PL"
2634,"57010037-99"
2634,"57000258-52"
2634,"47078649-TM"
2634,"47054426-99"
2732,"47094023-PL"
2732,"37010684-99"
2732,"57020041-99"
2732,"57001059-15"
2732,"47034043-TM"
2734,"47094023-PL"
2734,"57010037-05"
2734,"57001059-70"
2734,"47095837-05"
2734,"47035844-02"
4448,"47094023-PL"
4448,"47005949-99"
4448,"47095848-99"
4448,"47077127-43"
4448,"57030254-01"
5030,"47094023-PL"
5030,"57010037-99"
5030,"47065143-99"
5030,"57040323-70"
5030,"47015884-DI"
5646,"47094023-PL"
5646,"47005949-99"
5646,"47005920-99"
5646,"47055145-99"
5646,"47034001-99"
5646,"57050245-99"
5766,"47094023-PL"
5766,"57000342-TC"
5766,"57010037-05"
5766,"47078255-01"
5766,"57050481-20"
3985,"47047120-TC"
3985,"57010042-05"
3985,"47036305-BL"
3985,"57020215-88"
3985,"47001195-99"
2627,"47005943-01"
2627,"47014025-OR"
2627,"57000249-43"
2627,"47046320-32"
2627,"47004377-01"
2633,"47005943-01"
2633,"57000258-44"
2633,"47085837-05"
2633,"47087884-05"
2633,"47036304-08"
2665,"47005943-01"
2665,"47005857-OR"
2665,"47074023-01"
2665,"57000352-52"
2665,"47067662-08"
2675,"47005943-01"
2675,"57000374-02"
2675,"47045852-01"
2675,"57062510-02"
2675,"47055874-50"
3381,"47005943-01"
3381,"47027836-OR"
3381,"57010034-08"
3381,"47048647-02"
3381,"47087881-50"
3421,"47005943-01"
3421,"57040274-PL"
3421,"57082889-PL"
3421,"47055950-PL"
3421,"57010260-05"
3421,"47054030-99"
3421,"47078255-01"
3421,"57040272-99"
3440,"47005943-01"
3440,"47075849-02"
3440,"47004026-PL"
3440,"57010282-20"
3440,"47076304-01"
3498,"47005943-01"
3498,"47015850-OR"
3498,"57010643-20"
3498,"47003278-TO"
3498,"47001195-02"
3500,"47005943-01"
3500,"47027836-OR"
3500,"47001195-02"
3500,"57010643-88"
3500,"47085838-01"
3527,"47005943-01"
3527,"57040037-99"
3527,"47047109-01"
3527,"57010252-05"
3527,"47047844-PL"
3527,"57010760-56"
3553,"47005943-01"
3553,"57012511-99"
3553,"57010424-02"
3553,"57010770-52"
3553,"57092879-05"
3997,"47005943-01"
3997,"47034043-TM"
3997,"57050077-99"
3997,"47078255-01"
3997,"57020255-99"
4403,"47005943-01"
4403,"47054026-OR"
4403,"47097821-02"
4403,"47035844-02"
4403,"47077105-01"
4403,"57029404-55"
5522,"47005943-01"
5522,"47027836-OR"
5522,"47095848-99"
5522,"47047131-05"
5522,"57050011-02"
5741,"47005943-01"
5741,"57000033-01"
5741,"57040077-02"
5741,"47094760-PL"
5741,"47024024-PL"
5741,"57050457-21"
5742,"47005943-01"
5742,"57000033-01"
5742,"57040077-02"
5742,"47094760-PL"
5742,"47024024-PL"
5742,"57050457-21"
5770,"47005943-01"
5770,"47054026-OR"
5770,"47015923-02"
5770,"57040071-08"
5770,"57050483-50"
7414,"47005943-01"
7414,"57050006-99"
7414,"57041000-PL"
7414,"57050304-01"
7414,"57092879-05"
2581,"57000002-87"
2581,"47003777-DC"
2581,"47005947-99"
2581,"47075849-32"
2581,"47005851-OR"
2607,"47005947-99"
2607,"57000158-56"
2607,"47007881-01"
2607,"47037654-99"
2607,"47012502-99"
2608,"47005947-99"
2608,"47013269-TO"
2608,"57000159-52"
2608,"47027836-OR"
2608,"47015920-32"
2623,"47005947-99"
2623,"57010037-99"
2623,"47005921-99"
2623,"47074426-PL"
2623,"57000206-99"
2623,"47094424-99"
2623,"57020046-99"
2712,"47005947-99"
2712,"57040274-PL"
2712,"57000812-92"
2712,"47067877-99"
2712,"57010007-99"
2728,"47005947-99"
2728,"57040274-PL"
2728,"47067877-99"
2728,"57010007-99"
2728,"57001049-92"
5683,"47005947-99"
5683,"47097833-OR"
5683,"47037834-OR"
5683,"47001195-99"
5683,"57050276-87"
6196,"47005947-99"
6196,"47015920-32"
6196,"47014025-OR"
6196,"47037654-08"
6196,"57062001-05"
2772,"47075849-32"
2772,"57010037-99"
2772,"47078649-TM"
2772,"57001133-25"
2772,"47005861-OR"
3433,"47075849-32"
3433,"47012502-99"
3433,"47037825-CU"
3433,"57010277-35"
3433,"57040277-35"
3433,"47035852-OR"
3569,"47075849-32"
3569,"47037825-CU"
3569,"47014025-OR"
3569,"47002507-30"
3569,"57012888-12"
4031,"47075849-32"
4031,"47012503-OR"
4031,"47037825-99"
4031,"57022001-17"
4031,"57052001-17"
4045,"47075849-32"
4045,"57022878-TU"
4045,"47075968-08"
4045,"47052524-08"
4045,"47094043-05"
4045,"47075937-05"
4490,"47075849-32"
4490,"47005944-32"
4490,"57072001-01"
4490,"57050336-PL"
4490,"57052508-99"
4490,"57005977-TO"
4490,"57031501-52"
4490,"57042002-52"
4582,"47075849-32"
4582,"57050271-OR"
4582,"47064425-99"
